0.31953,68
0.248775,78
0.921816,70
0.246113,77
0.427992,75
0.26868,76
0.26483,76
0.609497,70
0.369022,72
0.304355,68
0.14195,78
0.892806,69
0.505582,70
0.154626,78
0.281404,70
0.116017,79
0.316724,74
0.2502,77
0.987069,67
0.250557,78
0.215644,79
0.145023,79
0.566535,68
0.248564,77
1.07803,74
0.268003,76
0.257704,75
0.265241,77
1.27703,72
0.705441,73
0.988335,71
0.371309,68
0.255996,76
0.246661,78
0.210319,78
0.135443,79
0.59063,67
1.31573,71
0.715646,69
0.248263,78
0.211605,79
0.350451,72
1.27444,0
0.25088,77
0.149306,79
0.244365,80
0.256178,76
0.212314,79
1.2491,0
0.247367,78
0.218418,78
0.379445,76
0.149093,79
1.33654,0
1.28277,0
0.247972,77
0.251914,77
0.447223,71
0.244441,78
0.24612,76
0.240246,79
0.251688,79
0.168969,79
0.251618,78
0.249809,79
0.450555,70
0.265367,72
0.367842,68
0.251797,78
0.224295,77
0.258389,75
1.01266,68
0.23183,78
0.238058,79
0.336181,73
0.215063,79
0.297266,71
0.25591,76
0.245648,77
0.217982,79
0.250678,76
0.390052,69
0.10436,79
0.249603,76
0.337827,72
0.448561,69
0.18526,79
0.511538,72
0.242442,78
1.24914,68
1.33401,0
0.248366,76
0.747639,70
0.492586,67
1.3407,0
0.251954,77
0.098144,79
0.204395,79
0.299271,69
0.252737,78
