0.269235,87,174,261,72
0.298421,81,187,268,73
1.28046,194,564,758,0
0.323119,67,205,272,68
0.277563,76,174,250,73
1.27806,233,598,831,0
0.25782,73,166,239,73
0.286886,76,193,269,73
0.272495,90,167,257,71
0.725964,183,410,593,75
0.299712,84,195,279,73
0.25938,88,163,251,73
0.291688,71,205,276,70
0.539128,156,281,437,73
1.28873,255,650,905,0
0.899441,273,432,705,72
0.262356,75,162,237,73
1.28558,257,670,927,0
0.70727,212,419,631,74
0.275979,82,177,259,74
0.256325,62,166,228,74
0.315446,115,220,335,73
1.31165,230,640,870,72
0.260932,99,164,263,73
0.265996,75,162,237,73
0.501453,102,274,376,69
0.293168,93,204,297,75
0.259039,70,172,242,73
0.268679,80,170,250,74
1.045,234,565,799,72
0.265706,82,181,263,73
0.270647,88,172,260,73
0.301193,89,205,294,74
0.276792,72,194,266,74
0.268173,92,174,266,73
0.255825,71,160,231,74
0.264059,73,177,250,73
0.264341,70,179,249,74
0.277212,60,189,249,70
0.296566,45,207,252,67
0.307783,90,206,296,73
1.27298,271,639,910,0
0.253053,78,168,246,74
1.16659,270,625,895,72
0.292584,90,195,285,72
0.517189,132,318,450,70
0.271757,78,183,261,73
1.35735,309,627,936,0
0.25627,69,170,239,73
1.32857,185,517,702,0
0.27103,84,194,278,74
0.26962,68,191,259,74
0.65405,158,375,533,67
1.11905,239,637,876,68
0.325304,59,228,287,67
0.469613,115,298,413,70
0.273567,67,191,258,74
0.277758,69,192,261,74
0.443846,92,301,393,70
0.274338,64,196,260,74
0.261944,83,153,236,74
0.261967,66,173,239,73
0.561531,92,338,430,67
0.547743,120,374,494,69
0.320507,95,216,311,72
0.294525,64,201,265,67
0.765812,146,479,625,66
0.264619,78,168,246,73
0.524254,94,294,388,68
0.308436,93,220,313,71
0.503782,138,306,444,67
0.26741,75,178,253,74
0.48543,96,305,401,75
0.925979,131,403,534,69
1.25654,236,631,867,71
0.318885,100,197,297,73
0.250741,69,169,238,73
0.259827,79,173,252,73
0.363461,74,267,341,70
1.3031,313,710,1023,0
0.391675,131,286,417,72
0.260517,70,182,252,71
0.25862,71,174,245,73
0.257623,72,161,233,73
0.559547,113,366,479,69
0.29435,75,205,280,73
0.484256,137,323,460,76
0.324073,107,225,332,72
0.544161,185,353,538,73
1.2437,250,674,924,0
0.494969,92,300,392,69
0.258958,65,184,249,73
1.1016,290,514,804,72
0.258333,74,175,249,74
0.27924,84,203,287,73
0.297099,64,202,266,69
0.364527,144,272,416,76
0.270513,74,174,248,73
0.365719,140,227,367,72
0.269769,96,210,306,73
